emp_no,first_name,last_name,to_date,dept_name
10001,Georgi,Facello,9999-01-01,Development
10004,Chirstian,Koblick,9999-01-01,Production
10009,Sumant,Peac,9999-01-01,Quality Management
10018,Kazuhide,Peha,9999-01-01,Production
10018,Kazuhide,Peha,9999-01-01,Development
10035,Alain,Chappelet,9999-01-01,Production
10053,Sanjiv,Zschoche,9999-01-01,Sales
10058,Berhard,McFarlin,9999-01-01,Marketing
10066,Kwee,Schusler,9999-01-01,Development
10067,Claudi,Stavenow,9999-01-01,Quality Management
10070,Reuven,Garigliano,9999-01-01,Development
10070,Reuven,Garigliano,9999-01-01,Research
10072,Hironoby,Sidou,9999-01-01,Development
10076,Erez,Ritzmann,9999-01-01,Development
10088,Jungsoon,Syrzycki,9999-01-01,Sales
10088,Jungsoon,Syrzycki,9999-01-01,Customer Service
10100,Hironobu,Haraldson,9999-01-01,Human Resources
10103,Akemi,Birch,9999-01-01,Development
10126,Kayoko,Valtorta,9999-01-01,Customer Service
10129,Armond,Peir,9999-01-01,Development
10130,Nishit,Casperson,9999-01-01,Production
10134,Diederik,Siprelle,9999-01-01,Production
10134,Diederik,Siprelle,9999-01-01,Development
10138,Perry,Shimshoni,9999-01-01,Quality Management
10150,Zhenbing,Perng,9999-01-01,Development
10153,Heekeun,Majewski,9999-01-01,Development
10157,Nigel,Aloisi,9999-01-01,Development
10198,Pranav,Furedi,9999-01-01,Development
10215,Xiaobin,Duclos,9999-01-01,Sales
10224,Leon,Trogemann,9999-01-01,Production
10233,Lein,Vendrig,9999-01-01,Human Resources
10258,Basil,Ishibashi,9999-01-01,Development
10272,Yishai,Cannane,9999-01-01,Finance
10282,Hercules,Benzmuller,9999-01-01,Production
10283,Kauko,Birjandi,9999-01-01,Development
10326,Masali,Czap,9999-01-01,Research
10340,Djelloul,Laventhal,9999-01-01,Marketing
10347,Pradeep,Kaminger,9999-01-01,Research
10355,Satyanarayana,Cochrane,9999-01-01,Sales
10356,Vasilis,Standera,9999-01-01,Research
10364,Nakhoon,Dengi,9999-01-01,Production
10372,Anneli,Frijda,9999-01-01,Production
10387,Parto,Wrigley,9999-01-01,Customer Service
10396,Sibyl,Rahier,9999-01-01,Development
10402,Volkmar,Ebeling,9999-01-01,Quality Management
10404,Prodip,Rosti,9999-01-01,Development
10426,Arunas,Luce,9999-01-01,Development
10429,Martien,Improta,9999-01-01,Development
10432,Hisao,Tiemann,9999-01-01,Customer Service
10451,Bodh,Ranta,9999-01-01,Production
10453,Tsvetan,Matzel,9999-01-01,Customer Service
